,feature,ace,copd,ppi,alhammad
0,publication_place,"['publication_place_Argentina', 'publication_place_Australia', 'publication_place_Austria', 'publication_place_Belgium', 'publication_place_Brazil', 'publication_place_Canada', 'publication_place_China', 'publication_place_China (Republic : 1949- )', 'publication_place_Croatia', 'publication_place_Denmark', 'publication_place_England', 'publication_place_France', 'publication_place_Germany', 'publication_place_Greece', 'publication_place_Hungary', 'publication_place_India', 'publication_place_Ireland', 'publication_place_Israel', 'publication_place_Italy', 'publication_place_Japan', 'publication_place_Korea (South)', 'publication_place_Mexico', 'publication_place_Netherlands', 'publication_place_New Zealand', 'publication_place_Nigeria', 'publication_place_Norway', 'publication_place_Poland', 'publication_place_Portugal', 'publication_place_Russia (Federation)', 'publication_place_Saudi Arabia', 'publication_place_Scotland', 'publication_place_Singapore', 'publication_place_South Africa', 'publication_place_Spain', 'publication_place_Sweden', 'publication_place_Switzerland', 'publication_place_Thailand', 'publication_place_United States', 'publication_place_Zimbabwe']",,"['publication_place_Argentina', 'publication_place_Australia', 'publication_place_Austria', 'publication_place_Bosnia and Herzegovina', 'publication_place_Brazil', 'publication_place_Canada', 'publication_place_Chile', 'publication_place_China', 'publication_place_China (Republic : 1949- )', 'publication_place_Croatia', 'publication_place_Denmark', 'publication_place_England', 'publication_place_France', 'publication_place_Germany', 'publication_place_Greece', 'publication_place_Hungary', 'publication_place_India', 'publication_place_Ireland', 'publication_place_Israel', 'publication_place_Italy', 'publication_place_Japan', 'publication_place_Kenya', 'publication_place_Korea (South)', 'publication_place_Malaysia', 'publication_place_Netherlands', 'publication_place_New Zealand', 'publication_place_Northern Ireland', 'publication_place_Norway', 'publication_place_Pakistan', 'publication_place_Peru', 'publication_place_Poland', 'publication_place_Russia (Federation)', 'publication_place_Scotland', 'publication_place_Singapore', 'publication_place_South Africa', 'publication_place_Spain', 'publication_place_Switzerland', 'publication_place_Thailand', 'publication_place_United Arab Emirates', 'publication_place_United States']",
1,n_words_in_text_clean,n_words_in_text_clean,n_words_in_text_clean,n_words_in_text_clean,n_words_in_text_clean
2,publication_date,"['publication_date_1988 May', 'publication_date_1992', 'publication_date_1992 Aug', 'publication_date_1992 May', 'publication_date_1992 Oct', 'publication_date_1992 Sep', 'publication_date_1993', 'publication_date_1993 Dec', 'publication_date_1993 Feb', 'publication_date_1993 Jul', 'publication_date_1993 Jun', 'publication_date_1993 Mar', 'publication_date_1993 May', 'publication_date_1993 May-Jun', 'publication_date_1993 Nov', 'publication_date_1993 Nov-Dec', 'publication_date_1993 Oct', 'publication_date_1993 Oct-Dec', 'publication_date_1993 Sep', 'publication_date_1993 Sep-Oct', 'publication_date_1994', 'publication_date_1994 Apr', 'publication_date_1994 Aug', 'publication_date_1994 Dec', 'publication_date_1994 Feb', 'publication_date_1994 Jan', 'publication_date_1994 Jan-Feb', 'publication_date_1994 Jul', 'publication_date_1994 Jul-Aug', 'publication_date_1994 Jun', 'publication_date_1994 Mar', 'publication_date_1994 May', 'publication_date_1994 May-Jun', 'publication_date_1994 Nov', 'publication_date_1994 Nov-Dec', 'publication_date_1994 Oct', 'publication_date_1994 Oct-Dec', 'publication_date_1994 Sep', 'publication_date_1994 Sep-Oct', 'publication_date_1995', 'publication_date_1995 Apr', 'publication_date_1995 Aug', 'publication_date_1995 Dec', 'publication_date_1995 Feb', 'publication_date_1995 Jan', 'publication_date_1995 Jan-Feb', 'publication_date_1995 Jan-Mar', 'publication_date_1995 Jul', 'publication_date_1995 Jul-Aug', 'publication_date_1995 Jun', 'publication_date_1995 Mar', 'publication_date_1995 Mar-Apr', 'publication_date_1995 May', 'publication_date_1995 May-Jun', 'publication_date_1995 Nov', 'publication_date_1995 Nov-Dec', 'publication_date_1995 Oct', 'publication_date_1995 Sep', 'publication_date_1995 Sep-Oct', 'publication_date_1996', 'publication_date_1996 Apr', 'publication_date_1996 Aug', 'publication_date_1996 Dec', 'publication_date_1996 Feb', 'publication_date_1996 Jan', 'publication_date_1996 Jan-Feb', 'publication_date_1996 Jul', 'publication_date_1996 Jul-Aug', 'publication_date_1996 Jun', 'publication_date_1996 Mar', 'publication_date_1996 May', 'publication_date_1996 Nov', 'publication_date_1996 Nov-Dec', 'publication_date_1996 Oct', 'publication_date_1996 Sep', 'publication_date_1996 Sep-Oct', 'publication_date_1997', 'publication_date_1997 Apr', 'publication_date_1997 Aug', 'publication_date_1997 Aug-Sep', 'publication_date_1997 Dec', 'publication_date_1997 Feb', 'publication_date_1997 Feb-Apr', 'publication_date_1997 Feb-Mar', 'publication_date_1997 Jan', 'publication_date_1997 Jan-Dec', 'publication_date_1997 Jan-Feb', 'publication_date_1997 Jan-Mar', 'publication_date_1997 Jul', 'publication_date_1997 Jul-Aug', 'publication_date_1997 Jun', 'publication_date_1997 Mar', 'publication_date_1997 Mar-Apr', 'publication_date_1997 May', 'publication_date_1997 May-Jun', 'publication_date_1997 Nov', 'publication_date_1997 Nov-Dec', 'publication_date_1997 Oct', 'publication_date_1997 Oct-Dec', 'publication_date_1997 Sep', 'publication_date_1997 Sep-Oct', 'publication_date_1998', 'publication_date_1998 Apr', 'publication_date_1998 Aug', 'publication_date_1998 Dec', 'publication_date_1998 Feb', 'publication_date_1998 Jan', 'publication_date_1998 Jan-Feb', 'publication_date_1998 Jul', 'publication_date_1998 Jun', 'publication_date_1998 Mar', 'publication_date_1998 Mar-Apr', 'publication_date_1998 May', 'publication_date_1998 May-Jun', 'publication_date_1998 Nov', 'publication_date_1998 Nov-Dec', 'publication_date_1998 Oct', 'publication_date_1998 Sep', 'publication_date_1998 Sep-Oct', 'publication_date_1999', 'publication_date_1999 Apr', 'publication_date_1999 Apr-May', 'publication_date_1999 Aug', 'publication_date_1999 Dec', 'publication_date_1999 Feb', 'publication_date_1999 Feb-Mar', 'publication_date_1999 Jan', 'publication_date_1999 Jan-Feb', 'publication_date_1999 Jul', 'publication_date_1999 Jul-Aug', 'publication_date_1999 Jun', 'publication_date_1999 Jun-Aug', 'publication_date_1999 Mar', 'publication_date_1999 Mar-Apr', 'publication_date_1999 May', 'publication_date_1999 May-Jun', 'publication_date_1999 Nov', 'publication_date_1999 Nov-Dec', 'publication_date_1999 Oct', 'publication_date_1999 Sep', 'publication_date_1999 Sep-Oct', 'publication_date_1999 Summer', 'publication_date_2000', 'publication_date_2000 Apr', 'publication_date_2000 Aug', 'publication_date_2000 Dec', 'publication_date_2000 Feb', 'publication_date_2000 Jan', 'publication_date_2000 Jan-Feb', 'publication_date_2000 Jan-Mar', 'publication_date_2000 Jul', 'publication_date_2000 Jul-Aug', 'publication_date_2000 Jun', 'publication_date_2000 Mar', 'publication_date_2000 Mar-Apr', 'publication_date_2000 May', 'publication_date_2000 May-Jun', 'publication_date_2000 Nov', 'publication_date_2000 Nov-Dec', 'publication_date_2000 Oct', 'publication_date_2000 Oct-Nov', 'publication_date_2000 Sep', 'publication_date_2000 Sep-Oct', 'publication_date_2001', 'publication_date_2001 Apr', 'publication_date_2001 Aug', 'publication_date_2001 Dec', 'publication_date_2001 Fall', 'publication_date_2001 Feb', 'publication_date_2001 Feb-Mar', 'publication_date_2001 Jan', 'publication_date_2001 Jan-Feb', 'publication_date_2001 Jul', 'publication_date_2001 Jul-Aug', 'publication_date_2001 Jun', 'publication_date_2001 Mar', 'publication_date_2001 Mar-Apr', 'publication_date_2001 May', 'publication_date_2001 May-Jun', 'publication_date_2001 Nov', 'publication_date_2001 Nov-Dec', 'publication_date_2001 Oct', 'publication_date_2001 Sep', 'publication_date_2001 Sep-Oct', 'publication_date_2002', 'publication_date_2002 Apr', 'publication_date_2002 Aug', 'publication_date_2002 Dec', 'publication_date_2002 Feb', 'publication_date_2002 Jan', 'publication_date_2002 Jan-Feb', 'publication_date_2002 Jul', 'publication_date_2002 Jul-Aug', 'publication_date_2002 Jun', 'publication_date_2002 Mar', 'publication_date_2002 Mar-Apr', 'publication_date_2002 May', 'publication_date_2002 May-Jun', 'publication_date_2002 Nov', 'publication_date_2002 Nov-Dec', 'publication_date_2002 Oct', 'publication_date_2002 Sep', 'publication_date_2002 Sep-Oct', 'publication_date_2003', 'publication_date_2003 Apr', 'publication_date_2003 Aug', 'publication_date_2003 Dec', 'publication_date_2003 Feb', 'publication_date_2003 Jan', 'publication_date_2003 Jul', 'publication_date_2003 Jun', 'publication_date_2003 Mar', 'publication_date_2003 Mar-Apr', 'publication_date_2003 May', 'publication_date_2003 May-Jun', 'publication_date_2003 Nov', 'publication_date_2003 Oct', 'publication_date_2003 Sep', 'publication_date_2003 Sep-Oct', 'publication_date_2003 Summer', 'publication_date_2003 Winter']",,"['publication_date_1992', 'publication_date_1993', 'publication_date_1993 Dec', 'publication_date_1993 Jun', 'publication_date_1993 Oct', 'publication_date_1994', 'publication_date_1994 Apr', 'publication_date_1994 Aug', 'publication_date_1994 Dec', 'publication_date_1994 Feb', 'publication_date_1994 Jan', 'publication_date_1994 Jan-Feb', 'publication_date_1994 Jul', 'publication_date_1994 Jul-Aug', 'publication_date_1994 Jun', 'publication_date_1994 Mar', 'publication_date_1994 Mar-Apr', 'publication_date_1994 May', 'publication_date_1994 May-Jun', 'publication_date_1994 Nov', 'publication_date_1994 Nov-Dec', 'publication_date_1994 Oct', 'publication_date_1994 Sep', 'publication_date_1994 Sep-Oct', 'publication_date_1995', 'publication_date_1995 Apr', 'publication_date_1995 Aug', 'publication_date_1995 Dec', 'publication_date_1995 Feb', 'publication_date_1995 Jan', 'publication_date_1995 Jan-Feb', 'publication_date_1995 Jul', 'publication_date_1995 Jun', 'publication_date_1995 Mar', 'publication_date_1995 May', 'publication_date_1995 Nov', 'publication_date_1995 Nov-Dec', 'publication_date_1995 Oct', 'publication_date_1995 Sep', 'publication_date_1996', 'publication_date_1996 Apr', 'publication_date_1996 Aug', 'publication_date_1996 Dec', 'publication_date_1996 Feb', 'publication_date_1996 Jan', 'publication_date_1996 Jan-Feb', 'publication_date_1996 Jul', 'publication_date_1996 Jul-Aug', 'publication_date_1996 Jun', 'publication_date_1996 Mar', 'publication_date_1996 Mar-Apr', 'publication_date_1996 May', 'publication_date_1996 Nov', 'publication_date_1996 Oct', 'publication_date_1996 Sep', 'publication_date_1997', 'publication_date_1997 Apr', 'publication_date_1997 Aug', 'publication_date_1997 Dec', 'publication_date_1997 Feb', 'publication_date_1997 Jan', 'publication_date_1997 Jul', 'publication_date_1997 Jul-Aug', 'publication_date_1997 Jul-Sep', 'publication_date_1997 Jun', 'publication_date_1997 Mar', 'publication_date_1997 Mar-Apr', 'publication_date_1997 May', 'publication_date_1997 May-Jun', 'publication_date_1997 Nov', 'publication_date_1997 Nov-Dec', 'publication_date_1997 Oct', 'publication_date_1997 Sep', 'publication_date_1997 Sep-Oct', 'publication_date_1998', 'publication_date_1998 Apr', 'publication_date_1998 Aug', 'publication_date_1998 Dec', 'publication_date_1998 Feb', 'publication_date_1998 Jan', 'publication_date_1998 Jul', 'publication_date_1998 Jul-Aug', 'publication_date_1998 Jun', 'publication_date_1998 Mar', 'publication_date_1998 May', 'publication_date_1998 May-Jun', 'publication_date_1998 Nov', 'publication_date_1998 Nov-Dec', 'publication_date_1998 Oct', 'publication_date_1998 Sep', 'publication_date_1998 Sep-Oct', 'publication_date_1999', 'publication_date_1999 Apr', 'publication_date_1999 Aug', 'publication_date_1999 Dec', 'publication_date_1999 Feb', 'publication_date_1999 Jan', 'publication_date_1999 Jan-Feb', 'publication_date_1999 Jul', 'publication_date_1999 Jul-Aug', 'publication_date_1999 Jun', 'publication_date_1999 Mar', 'publication_date_1999 May', 'publication_date_1999 May-Jun', 'publication_date_1999 Nov', 'publication_date_1999 Oct', 'publication_date_1999 Oct-Dec', 'publication_date_1999 Oct-Nov', 'publication_date_1999 Sep', 'publication_date_2000', 'publication_date_2000 Apr', 'publication_date_2000 Aug', 'publication_date_2000 Dec', 'publication_date_2000 Feb', 'publication_date_2000 Jan', 'publication_date_2000 Jan-Feb', 'publication_date_2000 Jul', 'publication_date_2000 Jul-Aug', 'publication_date_2000 Jun', 'publication_date_2000 Mar', 'publication_date_2000 Mar-Apr', 'publication_date_2000 May', 'publication_date_2000 Nov', 'publication_date_2000 Nov-Dec', 'publication_date_2000 Oct', 'publication_date_2000 Sep', 'publication_date_2000 Sep-Oct', 'publication_date_2000-2001', 'publication_date_2001', 'publication_date_2001 Apr', 'publication_date_2001 Aug', 'publication_date_2001 Dec', 'publication_date_2001 Feb', 'publication_date_2001 Jan', 'publication_date_2001 Jan-Mar', 'publication_date_2001 Jul', 'publication_date_2001 Jul-Aug', 'publication_date_2001 Jun', 'publication_date_2001 Mar', 'publication_date_2001 Mar-Apr', 'publication_date_2001 May', 'publication_date_2001 May-Jun', 'publication_date_2001 Nov', 'publication_date_2001 Oct', 'publication_date_2001 Sep', 'publication_date_2001 Sep-Oct', 'publication_date_2002', 'publication_date_2002 Apr', 'publication_date_2002 Aug', 'publication_date_2002 Aug-Sep', 'publication_date_2002 Dec', 'publication_date_2002 Fall', 'publication_date_2002 Feb', 'publication_date_2002 Jan', 'publication_date_2002 Jan-Feb', 'publication_date_2002 Jan-Mar', 'publication_date_2002 Jul', 'publication_date_2002 Jul-Aug', 'publication_date_2002 Jun', 'publication_date_2002 Mar', 'publication_date_2002 May', 'publication_date_2002 Nov', 'publication_date_2002 Oct', 'publication_date_2002 Sep', 'publication_date_2002 Sep-Oct', 'publication_date_2003', 'publication_date_2003 Apr', 'publication_date_2003 Aug', 'publication_date_2003 Feb', 'publication_date_2003 Jan', 'publication_date_2003 Jan-Feb', 'publication_date_2003 Jul', 'publication_date_2003 Jul-Aug', 'publication_date_2003 Jul-Sep', 'publication_date_2003 Jun', 'publication_date_2003 Mar', 'publication_date_2003 May', 'publication_date_2003 May-Jun', 'publication_date_2003 Nov', 'publication_date_2003 Oct', 'publication_date_2003 Sep', 'publication_date_2003 Sep-Oct', 'publication_date_2003 Spring', 'publication_date_2003 Summer']","['publication_date_2011', 'publication_date_2012', 'publication_date_2013', 'publication_date_2014', 'publication_date_2015', 'publication_date_2016', 'publication_date_2017']"
3,n_words_in_Title,n_words_in_Title,,n_words_in_Title,n_words_in_Title
4,n_words_in_mesh_terms,n_words_in_mesh_terms,,n_words_in_mesh_terms,n_words_in_mesh_terms
5,contains_topic,contains_topic,contains_topic,contains_topic,contains_topic
6,n_words_in_Abstract,n_words_in_Abstract,n_words_in_Abstract,n_words_in_Abstract,n_words_in_Abstract
