,label,text,text_clean,Badre AN,Ramamurthy K,John BE,Sahoo RK,Moreira JE,Huo M,Saint-Paul R,Bateman S,McCalla G,Pechenizkiy M,Rozinat A,Raghunathan V,Aalst WM,Perimal-Lewis L,Hatala M,Oliveira TC,e Abreu FB,Azevedo LG,Camargo V,Krogen ET,Yang S,Sun L,Xiong H,Marsic I,Heinimann H,Wiesmann D,Wei CP,Faber NR,Wombacher A,Ghannouchi SA,Lamine E,Montani S,Chebel-Morello B,Tax N,Wu B,Luo B,Epure EV,Espen Ingvaldsen J,Hayase T,Laga N,Masse P,Mendy G,Hicheur Cairns A,Saoud NB,Gunther CW,Wang J,Czarnecki K,Arora C,Esfahani FS,Sulaiman MN,Udzir NI,Renard M,Beillard B,Lalande M,Ren F,Wijesekera D,Rosen D,Wickboldt JA,Gaspary LP,Trastour D,Kramer W,Cho M,Krathu W,Hug C,Deneckére R,Brinkkemper S,Ghose A,Narendra NC,Yan J,Han JS,Song YJ,publication_date_2010,publication_date_2015,publication_date_2016
0,0,"Automatic Chunk Detection in Human-computer Interaction This paper describes an algorithm to detect user's mental chunks by analysis of pause lengths in goal-directed human-computer interaction. Identifying and characterizing users' chunks can help in gauging the users' level of expertise. The algorithm described in this paper works with information collected by an automatic logging mechanism. Therefore, it is applicable to situations in which no human intervention is required to perform the analysis, such as adaptive interfaces. An empirical study was conducted to validate the algorithm, showing that mental chunks and their characteristics can indeed be inferred from analysis of human-computer interaction logs. Users performing a variety of goal-directed tasks were monitored. Using an automated logging tool, every command invoked, every operation performed with the input devices, as well as all system responses were recorded. Analysis of the interaction logs was performed by a program that implements a chunk detection algorithm that looks at command sequences and timings. The results support the hypothesis that a significant number of user mental chunks can be detected by our algorithm. chunk detection, chunking, event logging, human-computer interaction, models of the user, novice expert differences, user study",automatic chunk detection in human computer interaction this paper describes an algorithm to detect user s mental chunks by analysis of pause lengths in goal directed human computer interaction identifying and characterizing users chunks can help in gauging the users level of expertise the algorithm described in this paper works with information collected by an automatic logging mechanism therefore it is applicable to situations in which no human intervention is required to perform the analysis such as adaptive interfaces an empirical study was conducted to validate the algorithm showing that mental chunks and their characteristics can indeed be inferred from analysis of human computer interaction logs users performing a variety of goal directed tasks were monitored using an automated logging tool every command invoked every operation performed with the input devices as well as all system responses were recorded analysis of the interaction logs was performed by a program that implements a chunk detection algorithm that looks at command sequences and timings the results support the hypothesis that a significant number of user mental chunks can be detected by our algorithm chunk detection chunking event logging human computer interaction models of the user novice expert differences user study,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,0,"The Design of RPM: An FPGA-based Multiprocessor Emulator Recent advances in Field-Programmable Gate Arrays (FPGA) and programmable interconnects have made it possible to build efficient hardware emulation engines. In addition, improvements in Computer-Aided Design (CAD) tools, mainly in synthesis tools, greatly simplify the design of large circuits. The RPM (Rapid Prototype Engine for Multiprocessors) Project leverages these two technological advances. Its goal is to develop a common hardware platform for the emulation of multiprocessor systems with different architectures. For cost reasons, the use of FPGAs in RPM is limited to the memory controllers, while the rest of the emulator, including the processors, memories and interconnect, is built with off-the-shelf components. A flexible non-intrusive event logging mechanism is included at all levels of the memory hierarchy, making it possible to monitor the emulation in very fine detail. This paper presents the hardware design of RPM. field-programmable gate arrays, logic emulation, message-passing multicomputers, rapid prototyping, shared-memory multiprocessors",the design of rpm an fpga based multiprocessor emulator recent advances in field programmable gate arrays fpga and programmable interconnects have made it possible to build efficient hardware emulation engines in addition improvements in computer aided design cad tools mainly in synthesis tools greatly simplify the design of large circuits the rpm rapid prototype engine for multiprocessors project leverages these two technological advances its goal is to develop a common hardware platform for the emulation of multiprocessor systems with different architectures for cost reasons the use of fpgas in rpm is limited to the memory controllers while the rest of the emulator including the processors memories and interconnect is built with off the shelf components a flexible non intrusive event logging mechanism is included at all levels of the memory hierarchy making it possible to monitor the emulation in very fine detail this paper presents the hardware design of rpm field programmable gate arrays logic emulation message passing multicomputers rapid prototyping shared memory multiprocessors,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,0,"A Tool for Creating Predictive Performance Models from User Interface Demonstrations A central goal of many user interface development tools has been to make the construction of high quality interfaces easy enough that iterative design approaches could be a practical reality. In the last 15 years significant advances in this regard have been achieved. However, the evaluation portion of the iterative design process has received relatively little support from tools. Even though advances have also been made in usability evaluation methods, nearly all evaluation is still done ``by hand,'' making it more expensive and difficult than it might be. This paper considers a partial implementation of the CRITIQUE usability evaluation tool that is being developed to help remedy this situation by automating a number of evaluation tasks. This paper will consider techniques used by the system to produce predictive models (keystroke level models and simplified GOMS models) from demonstrations of sample tasks in a fraction of the time needed by conventional handcrafting methods. A preliminary comparison of automatically generated models with models created by an expert modeler show them to produce very similar predictions (within 2%). Further, because they are automated, these models promise to be less subject to human error and less affected by the skill of the modeler. GOMS, event logs, task modeling, tool support for evaluation, toolkits",a tool for creating predictive performance models from user interface demonstrations a central goal of many user interface development tools has been to make the construction of high quality interfaces easy enough that iterative design approaches could be a practical reality in the last 15 years significant advances in this regard have been achieved however the evaluation portion of the iterative design process has received relatively little support from tools even though advances have also been made in usability evaluation methods nearly all evaluation is still done by hand making it more expensive and difficult than it might be this paper considers a partial implementation of the critique usability evaluation tool that is being developed to help remedy this situation by automating a number of evaluation tasks this paper will consider techniques used by the system to produce predictive models keystroke level models and simplified goms models from demonstrations of sample tasks in a fraction of the time needed by conventional handcrafting methods a preliminary comparison of automatically generated models with models created by an expert modeler show them to produce very similar predictions within 2 further because they are automated these models promise to be less subject to human error and less affected by the skill of the modeler goms event logs task modeling tool support for evaluation toolkits,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3,0,"Critical Event Prediction for Proactive Management in Large-scale Computer Clusters As the complexity of distributed computing systems increases, systems management tasks require significantly higher levels of automation; examples include diagnosis and prediction based on real-time streams of computer events, setting alarms, and performing continuous monitoring. The core of autonomic computing, a recently proposed initiative towards next-generation IT-systems capable of 'self-healing', is the ability to analyze data in real-time and to predict potential problems. The goal is to avoid catastrophic failures through prompt execution of remedial actions.This paper describes an attempt to build a proactive prediction and control system for large clusters. We collected event logs containing various system reliability, availability and serviceability (RAS) events, and system activity reports (SARs) from a 350-node cluster system for a period of one year. The 'raw' system health measurements contain a great deal of redundant event data, which is either repetitive in nature or misaligned with respect to time. We applied a filtering technique and modeled the data into a set of primary and derived variables. These variables used probabilistic networks for establishing event correlations through prediction algorithms. We also evaluated the role of time-series methods, rule-based classification algorithms and Bayesian network models in event prediction.Based on historical data, our results suggest that it is feasible to predict system performance parameters (SARs) with a high degree of accuracy using time-series models. Rule-based classification techniques can be used to extract machine-event signatures to predict critical events with up to 70% accuracy. critical event prediction, large-scale clusters, system event log",critical event prediction for proactive management in large scale computer clusters as the complexity of distributed computing systems increases systems management tasks require significantly higher levels of automation examples include diagnosis and prediction based on real time streams of computer events setting alarms and performing continuous monitoring the core of autonomic computing a recently proposed initiative towards next generation it systems capable of self healing is the ability to analyze data in real time and to predict potential problems the goal is to avoid catastrophic failures through prompt execution of remedial actions this paper describes an attempt to build a proactive prediction and control system for large clusters we collected event logs containing various system reliability availability and serviceability ras events and system activity reports sars from a 350 node cluster system for a period of one year the raw system health measurements contain a great deal of redundant event data which is either repetitive in nature or misaligned with respect to time we applied a filtering technique and modeled the data into a set of primary and derived variables these variables used probabilistic networks for establishing event correlations through prediction algorithms we also evaluated the role of time series methods rule based classification algorithms and bayesian network models in event prediction based on historical data our results suggest that it is feasible to predict system performance parameters sars with a high degree of accuracy using time series models rule based classification techniques can be used to extract machine event signatures to predict critical events with up to 70 accuracy critical event prediction large scale clusters system event log,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
4,0,"IP Fault Localization via Risk Modeling Automated, rapid, and effective fault management is a central goal of large operational IP networks. Today's networks suffer from a wide and volatile set of failure modes, where the underlying fault proves difficult to detect and localize, thereby delaying repair. One of the main challenges stems from operational reality: IP routing and the underlying optical fiber plant are typically described by disparate data models and housed in distinct network management systems. We introduce a fault-localization methodology based on the use of risk models and an associated troubleshooting system, SCORE (Spatial Correlation Engine), which automatically identifies likely root causes across layers. In particular, we apply SCORE to the problem of localizing link failures in IP and optical networks. In experiments conducted on a tier-1 ISP backbone, SCORE proved remarkably effective at localizing optical link failures using only IP-layer event logs. Moreover, SCORE was often able to automatically uncover inconsistencies in the databases that maintain the critical associations between the IP and optical networks. []",ip fault localization via risk modeling automated rapid and effective fault management is a central goal of large operational ip networks today s networks suffer from a wide and volatile set of failure modes where the underlying fault proves difficult to detect and localize thereby delaying repair one of the main challenges stems from operational reality ip routing and the underlying optical fiber plant are typically described by disparate data models and housed in distinct network management systems we introduce a fault localization methodology based on the use of risk models and an associated troubleshooting system score spatial correlation engine which automatically identifies likely root causes across layers in particular we apply score to the problem of localizing link failures in ip and optical networks in experiments conducted on a tier 1 isp backbone score proved remarkably effective at localizing optical link failures using only ip layer event logs moreover score was often able to automatically uncover inconsistencies in the databases that maintain the critical associations between the ip and optical networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
5,0,"An Exploratory Study of Process Enactment As Input to Software Process Improvement Software process improvement has been a focus of industry for many years. To assist the procedure and implementation of software process improvement we provide a software process recovery method based on mining project enactment data. The goal of process recovery is to improve the quality of a planned software process. We investigate the enactment of a planned software process from the view of understanding the appropriateness and fitness for purpose of the process model from the viewpoint of the project managers in the context of a small software development organization. We collected empirical data from this organization and then applied our method to a pilot case study. The main contribution of our work is to provide a methodology of software process model recovery which supports software process improvement. process mining, software process improvement",an exploratory study of process enactment as input to software process improvement software process improvement has been a focus of industry for many years to assist the procedure and implementation of software process improvement we provide a software process recovery method based on mining project enactment data the goal of process recovery is to improve the quality of a planned software process we investigate the enactment of a planned software process from the view of understanding the appropriateness and fitness for purpose of the process model from the viewpoint of the project managers in the context of a small software development organization we collected empirical data from this organization and then applied our method to a pilot case study the main contribution of our work is to provide a methodology of software process model recovery which supports software process improvement process mining software process improvement,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
6,0,"Enforcing Object Protocols by Combining Static and Runtime Analysis In this paper, we consider object protocols that constrain interactions between objects in a program. Several such protocols have been proposed in the literature. For many APIs (such as JDOM, JDBC), API designers constrain how API clients interact with API objects. In practice, API clients violate such constraints, as evidenced by postings in discussion forums for these APIs. Thus, it is important that API designers specify constraints using appropriate object protocols and enforce them. The goal of an object protocol is expressed as a protocol invariant. Fundamental properties such as ownership can be expressed as protocol invariants. We present a language, PROLANG, to specify object protocols along with their protocol invariants, and a tool, INVCOP++, to check if a program satisfies a protocol invariant. INVCOP++ separates the problem of checking if a protocol satisfies its protocol invariant (called protocol correctness), from the problem of checking if a program conforms to a protocol (called program conformance). The former is solved using static analysis, and the latter using runtime analysis. Due to this separation (1) errors made in protocol design are detected at a higher level of abstraction, independent of the program's source code, and (2) performance of conformance checking is improved as protocol correctness has been verified statically. We present theoretical guarantees about the way we combine static and runtime analysis, and empirical evidence that our tool INVCOP++ finds usage errors in widely used APIs. We also show that statically checking protocol correctness greatly optimizes the overhead of checking program conformance, thus enabling API clients to test whether their programs use the API as intended by the API designer. aspect oriented programming, invariants, program verification",enforcing object protocols by combining static and runtime analysis in this paper we consider object protocols that constrain interactions between objects in a program several such protocols have been proposed in the literature for many apis such as jdom jdbc api designers constrain how api clients interact with api objects in practice api clients violate such constraints as evidenced by postings in discussion forums for these apis thus it is important that api designers specify constraints using appropriate object protocols and enforce them the goal of an object protocol is expressed as a protocol invariant fundamental properties such as ownership can be expressed as protocol invariants we present a language prolang to specify object protocols along with their protocol invariants and a tool invcop to check if a program satisfies a protocol invariant invcop separates the problem of checking if a protocol satisfies its protocol invariant called protocol correctness from the problem of checking if a program conforms to a protocol called program conformance the former is solved using static analysis and the latter using runtime analysis due to this separation 1 errors made in protocol design are detected at a higher level of abstraction independent of the program s source code and 2 performance of conformance checking is improved as protocol correctness has been verified statically we present theoretical guarantees about the way we combine static and runtime analysis and empirical evidence that our tool invcop finds usage errors in widely used apis we also show that statically checking protocol correctness greatly optimizes the overhead of checking program conformance thus enabling api clients to test whether their programs use the api as intended by the api designer aspect oriented programming invariants program verification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
7,0,"Process Spaceship: Discovering and Exploring Process Views from Event Logs in Data Spaces Business processes (BPs) are central to the operation of both public and private organizations. A business process is a set of coordinated tasks and activities to achieve a business objective or goal. Given the importance of BPs to overall efficiency and effectiveness, the competitiveness of organizations hinges on continuous BP improvement. In the nineties, the focus of BP improvement was on automation: workflow management systems (WfMSs) and other middleware technologies were used to reduce cost and improve efficiency by providing better system integration and automated enactment of operational business processes. Recently, the focus of business process has expanded to monitoring, analysis and understanding of business processes, and such techniques are incorporated in business process management systems (BPMSs). []",process spaceship discovering and exploring process views from event logs in data spaces business processes bps are central to the operation of both public and private organizations a business process is a set of coordinated tasks and activities to achieve a business objective or goal given the importance of bps to overall efficiency and effectiveness the competitiveness of organizations hinges on continuous bp improvement in the nineties the focus of bp improvement was on automation workflow management systems wfmss and other middleware technologies were used to reduce cost and improve efficiency by providing better system integration and automated enactment of operational business processes recently the focus of business process has expanded to monitoring analysis and understanding of business processes and such techniques are incorporated in business process management systems bpmss,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
8,0,"Interactive Usability Instrumentation Usage data logged from user interactions can be extremely valuable for evaluating software usability. However, instrumenting software to collect usage data is a time-intensive task that often requires technical expertise as well as an understanding of the usability issues to be explored. We have developed a new technique for software instrumentation that removes the need for programming. Interactive Usability Instrumentation (IUI) allows usability evaluators to work directly with a system's interface to specify what components and what events should be logged. Evaluators are able to create higher-level abstractions on the events they log and are provided with real-time feedback on how events are logged. As a proof of the IUI concept, we have created the UMARA system, an instrumentation system that is enabled by recent advances in aspect-oriented programming. UMARA allows users to instrument software without the need for additional coding, and provides tools for specification, data collection, and data analysis. We report on the use of UMARA in the instrumentation of two large open-source projects; our experiences show that IUI can substantially simplify the process of log-based usability evaluation. aspect-oriented programming, instrumentation, software logging, usability",interactive usability instrumentation usage data logged from user interactions can be extremely valuable for evaluating software usability however instrumenting software to collect usage data is a time intensive task that often requires technical expertise as well as an understanding of the usability issues to be explored we have developed a new technique for software instrumentation that removes the need for programming interactive usability instrumentation iui allows usability evaluators to work directly with a system s interface to specify what components and what events should be logged evaluators are able to create higher level abstractions on the events they log and are provided with real time feedback on how events are logged as a proof of the iui concept we have created the umara system an instrumentation system that is enabled by recent advances in aspect oriented programming umara allows users to instrument software without the need for additional coding and provides tools for specification data collection and data analysis we report on the use of umara in the instrumentation of two large open source projects our experiences show that iui can substantially simplify the process of log based usability evaluation aspect oriented programming instrumentation software logging usability,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
9,0,"Using Minimum Description Length for Process Mining In the field of process mining, the goal is to automatically extract process models from event logs. Recently, many algorithms have been proposed for this task. For comparing these models, different quality measures have been proposed. Most of these measures, however, have several disadvantages; they are model-dependent, assume that the model that generated the log is known, or need negative examples of event sequences. In this paper we propose a new measure, based on the minimal description length principle, to evaluate the quality of process models that does not have these disadvantages. To illustrate the properties of the new measure we conduct experiments and discuss the trade-off between model complexity and compression. []",using minimum description length for process mining in the field of process mining the goal is to automatically extract process models from event logs recently many algorithms have been proposed for this task for comparing these models different quality measures have been proposed most of these measures however have several disadvantages they are model dependent assume that the model that generated the log is known or need negative examples of event sequences in this paper we propose a new measure based on the minimal description length principle to evaluate the quality of process models that does not have these disadvantages to illustrate the properties of the new measure we conduct experiments and discuss the trade off between model complexity and compression,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
