,label,n_words_in_Abstract,text,text_clean,Tarkoma S,Henry TR,Thakur S,Saha M,Buchmann A,Eliazar KJ,Mongazon-Cazavet B,Aravinthan G,Ristenpart T,Parekh S,Balaji B,Hawkey K,Ko AJ,An K,Billingsley W,Pasquier J,Zander S,Muriithi GM,Ortmann L,Nittel S,Neville F,Rigault JP,Fortes RP,Matera M,Matharu GS,Mishra A,Lee K,Baba AI,Vrbsky S,Salvini S,Tang B,Chen Z,Hefferman G,Wei T,Skočir P,Balasubramaniam B,Gordon A,James R,Newall L,Hay S,Kim JY,Hauswirth M,Salehi A,Corradi A,Liu Q,Zhu C,Chu TH,Chan HC,Porres I,Sun P,Rexford J,Azua M,Singh I,Kumar S,Phillimore P,Dolstra E,Kundu A,Farcas C,Judd G,Tsou T,Sundaresan N,Di Fabbrizio G,Wohlfart F,Abdlhamed M,Bae J,Pan Y,Chen L,Lv K,Dzvonyar D,Penta MD,Song M,Mattila AL,Berbers Y,Ramos-Hernandez DN,Conlon S,White T,Hieb M,Thomson C,Florio V,Shook D,Raman J,DuPont F,Adams B,Xu X,Zhu L,Eyl M,Kuz I,Reeves S,Castell M,Gmeiner J,Savor T,Sauvola T,Olsson HH,Fallik B,Rogers RO,Gorton I,Zhang Z,Fleurey F,Chen CT,Orban de Xivry G,Rahmer G,Erculiani F,Pereira Moreira GD,Marques da Cunha A,Rito Silva A,Yang Z,Marshall-Keim T,Moir K,publication_date_2011
0,0,162,"Vision: Augmenting WiFi Offloading with An Open-source Collaborative Platform Offloading mobile traffic to WiFi networks (WiFi Offloading) is a cost-effective technique to alleviate the pressure on mobile networks for meeting the surge of data capacity demand. However, most existing proposals from standards developing organizations (SDOs) and research communities are facing a deployment dilemma, either due to overlooking device limitations, lack user incentives, or missing operator supports. In this position paper, we introduce an open-source platform for WiFi offloading to tackle the deployment challenge. Our solution leverages the programmable feature of software-defined networking (SDN) to enhance extensibility and deployability in a collaborative manner. Inspired by our field measurements covering 4G/LTE and 802.11ac/n, we exploit context awareness as a use case to demonstrate the efficacy of our solution. We also discuss the potential usage by cloud service providers given the opportunities behind the growing popularity of mobile virtual network operators (MVNO). We have released our platform under open-source licenses to encourage future collaboration and development with SDOs and research communities. SDN, WiFi offloading, cloud service provider, mobile virtual network operator",vision augmenting wifi offloading with an open source collaborative platform offloading mobile traffic to wifi networks wifi offloading is a cost effective technique to alleviate the pressure on mobile networks for meeting the surge of data capacity demand however most existing proposals from standards developing organizations sdos and research communities are facing a deployment dilemma either due to overlooking device limitations lack user incentives or missing operator supports in this position paper we introduce an open source platform for wifi offloading to tackle the deployment challenge our solution leverages the programmable feature of software defined networking sdn to enhance extensibility and deployability in a collaborative manner inspired by our field measurements covering 4g lte and 802 11ac n we exploit context awareness as a use case to demonstrate the efficacy of our solution we also discuss the potential usage by cloud service providers given the opportunities behind the growing popularity of mobile virtual network operators mvno we have released our platform under open source licenses to encourage future collaboration and development with sdos and research communities sdn wifi offloading cloud service provider mobile virtual network operator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0,229,"Vision: The Case for Cellular Small Cells for Cloudlets Today's cellular networks are built with``macro cell'' basestations connected to the Internet via a rigid, complicated backhaul. Even with state-of-art technologies like LTE, users get limited throughput and high latency, with high variance. Performance enhancing IP boxes are deployed in the cellular operator's datacenters, far from the user. As a result, the most compelling cloudlet applications are difficult to realize on such networks and cloudlet researchers have thus far focused on Wi-Fi networks only. We argue that the cloudlet community should consider small cell networks in addition to Wi-Fi networks. Small cells, such as femtocells and picocells, are relatively new additions to the cellular standards. By reducing the cell size compared to the traditional macro cells, they increase spatial reuse of precious licensed frequencies. Users get higher bandwidth and lower latency, with relatively less variance. This architecture, where small cells are deployed simply with power and Ethernet connectivity, lends itself well to cloudlet augmentation. In this position paper, we describe why deployed macro cell basestations are unsuitable for cloudlet deployment. In contrast, we describe why a small cell architecture is amenable for cloudlet deployments. Our experience from operating a small cell testbed in licensed frequencies matches that reported by equipment vendors. The applications we care about require high throughput and low latency. In a cellular network this can be achieved today by augmenting small cells with powerful cloudlets. cloudlets, lte, small cells",vision the case for cellular small cells for cloudlets today s cellular networks are built with macro cell basestations connected to the internet via a rigid complicated backhaul even with state of art technologies like lte users get limited throughput and high latency with high variance performance enhancing ip boxes are deployed in the cellular operator s datacenters far from the user as a result the most compelling cloudlet applications are difficult to realize on such networks and cloudlet researchers have thus far focused on wi fi networks only we argue that the cloudlet community should consider small cell networks in addition to wi fi networks small cells such as femtocells and picocells are relatively new additions to the cellular standards by reducing the cell size compared to the traditional macro cells they increase spatial reuse of precious licensed frequencies users get higher bandwidth and lower latency with relatively less variance this architecture where small cells are deployed simply with power and ethernet connectivity lends itself well to cloudlet augmentation in this position paper we describe why deployed macro cell basestations are unsuitable for cloudlet deployment in contrast we describe why a small cell architecture is amenable for cloudlet deployments our experience from operating a small cell testbed in licensed frequencies matches that reported by equipment vendors the applications we care about require high throughput and low latency in a cellular network this can be achieved today by augmenting small cells with powerful cloudlets cloudlets lte small cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,0,144,"Visualizing the Network of Software Agents for Verification of Multiagent Systems The verification of Multiagent Systems (MAS) and Distributed Software Systems (DSS) has taken a special attention due to the growing demand of having DSS in recent years. The distributed functionality and lack of having a central control in MAS and DSS may cause to emerge new behaviors in the execution time. This unexpected behavior which was not seen in the requirements is known as emergent behavior and may cause irreparable damages. Detection of these emergent behaviors is more valuable and cost effective in the early phases compared to detecting them after the deployment. In this paper we propose a new technique for the detection of a specific type of emergent behavior in the design phase. We take the advantage of social network visualization in this method. The novelty and direct advantage of this technique is presenting the exact point and cause of emergent behavior. distributed software systems, emergent behavior, multiagent systems, scenario-based software engineering, social network visualization",visualizing the network of software agents for verification of multiagent systems the verification of multiagent systems mas and distributed software systems dss has taken a special attention due to the growing demand of having dss in recent years the distributed functionality and lack of having a central control in mas and dss may cause to emerge new behaviors in the execution time this unexpected behavior which was not seen in the requirements is known as emergent behavior and may cause irreparable damages detection of these emergent behaviors is more valuable and cost effective in the early phases compared to detecting them after the deployment in this paper we propose a new technique for the detection of a specific type of emergent behavior in the design phase we take the advantage of social network visualization in this method the novelty and direct advantage of this technique is presenting the exact point and cause of emergent behavior distributed software systems emergent behavior multiagent systems scenario based software engineering social network visualization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,0,160,"Volunteerism: A New Idea for Filling University Information Technology Needs The world-wide-web provides a great means for delivering information services to a university community[1,2]. An unexpected side-effect of using the web to deliver information services is that a community member can develop new services independent of the computing services department. As an example, one of the authors (a computer science student at California State University Chico) has independently developed a tool to help students create class schedules. This tool reads course information from the university's public web pages and uses it to automatically create custom class schedules for individual students. Over five thousand students (nearly half of all registering students) used this tool to create their Fall 2005 schedules.This paper presents the development and deployment of the scheduling tool as an example of information services volunteerism. It includes a description of the genesis of the tool, a discussion of how it has been integrated into the university supported information services, and an overview of the scheduling tool. class schedule, university services, volunteerism, world-wide-web",volunteerism a new idea for filling university information technology needs the world wide web provides a great means for delivering information services to a university community 1 2 an unexpected side effect of using the web to deliver information services is that a community member can develop new services independent of the computing services department as an example one of the authors a computer science student at california state university chico has independently developed a tool to help students create class schedules this tool reads course information from the university s public web pages and uses it to automatically create custom class schedules for individual students over five thousand students nearly half of all registering students used this tool to create their fall 2005 schedules this paper presents the development and deployment of the scheduling tool as an example of information services volunteerism it includes a description of the genesis of the tool a discussion of how it has been integrated into the university supported information services and an overview of the scheduling tool class schedule university services volunteerism world wide web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,0,195,"VoxNet: An Interactive, Rapidly-Deployable Acoustic Monitoring Platform Distributed acoustic sensing underlies an increasingly important class of sensor network applications, from habitat monitoring and bioacoustic census to security applications and virtual fences. VoxNet is a complete hardware and software platform for distributed acoustic monitoring applications that focuses on three key goals: (1) rapid deployment in realistic environments; (2) a high level programming language that abstracts the user from platform and network details and compiles into a high performance distributed application; and (3) an interactive usage model based on run-time installable programs, with the ability to run the same high level program seamlessly over live or stored data. The VoxNet hardware is self-contained and weather-resistant, and supports a four-channel microphone array with automated time synchronization, localization, and network coordination. Using VoxNet, an investigator can visualize phenomena in real-time, develop and tune online analysis, and record raw data for off-line analysis and archival. This paper describes both the hardware and software elements of the platform, as well as the architecture required to support distributed programs running over a heterogeneous network. We characterize the performance of the platform, using both microbenchmarks that evaluate specific aspects of the platform and a real application running in the field. acoustic source localization, bioacoustics, distributed signal processing, platforms, wireless sensor networks",voxnet an interactive rapidly deployable acoustic monitoring platform distributed acoustic sensing underlies an increasingly important class of sensor network applications from habitat monitoring and bioacoustic census to security applications and virtual fences voxnet is a complete hardware and software platform for distributed acoustic monitoring applications that focuses on three key goals 1 rapid deployment in realistic environments 2 a high level programming language that abstracts the user from platform and network details and compiles into a high performance distributed application and 3 an interactive usage model based on run time installable programs with the ability to run the same high level program seamlessly over live or stored data the voxnet hardware is self contained and weather resistant and supports a four channel microphone array with automated time synchronization localization and network coordination using voxnet an investigator can visualize phenomena in real time develop and tune online analysis and record raw data for off line analysis and archival this paper describes both the hardware and software elements of the platform as well as the architecture required to support distributed programs running over a heterogeneous network we characterize the performance of the platform using both microbenchmarks that evaluate specific aspects of the platform and a real application running in the field acoustic source localization bioacoustics distributed signal processing platforms wireless sensor networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,0,169,"VULCAN: Architecture-model-based Software Development Workbench Recently, software developers are faced with a fierce market competition with: diverse market needs, ever increasing number of features, and shortening product life cycle. To survive in this fierce competition, software developers are searching for methods and tools to develop various products with reduced time-to-market and improved quality. In response to these needs, we present a new CASE called VULCAN. VULCAN is a software development workbench comprising various tools for supporting the entire phases of feature-oriented product line software development from feature modeling to asset and product development. Especially, it provides several tools for supporting architecture-model-based software development where: (1) product line architectures can be specified using various architecture patterns, (2) application-specific architectures can be derived from the product line architecture specifications, (3) application-specific control components can be generated from the application architecture specifications, and (4) different deployment architectures can be configured with various component communication mechanisms. Of various tools included in VULCAN, we focus on this tool set for supporting architecture-model-based software development in this paper and demonstration. architecture-model-based, component connection mechanism, deployment architecture, feature-oriented, software product line",vulcan architecture model based software development workbench recently software developers are faced with a fierce market competition with diverse market needs ever increasing number of features and shortening product life cycle to survive in this fierce competition software developers are searching for methods and tools to develop various products with reduced time to market and improved quality in response to these needs we present a new case called vulcan vulcan is a software development workbench comprising various tools for supporting the entire phases of feature oriented product line software development from feature modeling to asset and product development especially it provides several tools for supporting architecture model based software development where 1 product line architectures can be specified using various architecture patterns 2 application specific architectures can be derived from the product line architecture specifications 3 application specific control components can be generated from the application architecture specifications and 4 different deployment architectures can be configured with various component communication mechanisms of various tools included in vulcan we focus on this tool set for supporting architecture model based software development in this paper and demonstration architecture model based component connection mechanism deployment architecture feature oriented software product line,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,0,141,"Wait for It: Determinants of Pull Request Evaluation Latency on GitHub The pull-based development model, enabled by git and popularised by collaborative coding platforms like BitBucket, Gitorius, and GitHub, is widely used in distributed software teams. While this model lowers the barrier to entry for potential contributors (since anyone can submit pull requests to any repository), it also increases the burden on integrators (i.e., members of a project's core team, responsible for evaluating the proposed changes and integrating them into the main development line), who struggle to keep up with the volume of incoming pull requests. In this paper we report on a quantitative study that tries to resolve which factors affect pull request evaluation latency in GitHub. Using regression modeling on data extracted from a sample of GitHub projects using the Travis-CI continuous integration service, we find that latency is a complex issue, requiring many independent variables to explain adequately. []",wait for it determinants of pull request evaluation latency on github the pull based development model enabled by git and popularised by collaborative coding platforms like bitbucket gitorius and github is widely used in distributed software teams while this model lowers the barrier to entry for potential contributors since anyone can submit pull requests to any repository it also increases the burden on integrators i e members of a project s core team responsible for evaluating the proposed changes and integrating them into the main development line who struggle to keep up with the volume of incoming pull requests in this paper we report on a quantitative study that tries to resolve which factors affect pull request evaluation latency in github using regression modeling on data extracted from a sample of github projects using the travis ci continuous integration service we find that latency is a complex issue requiring many independent variables to explain adequately,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,0,226,"WattShare: Detailed Energy Apportionment in Shared Living Spaces Within Commercial Buildings Increasing energy consumption of commercial buildings has motivated numerous energy tracking and monitoring systems in the recent years. A particular area that is less explored in this domain is that of energy apportionment whereby total energy usage of a shared space such as a building is disaggregated to attribute it to an individual occupant. This particular scenario of individual apportionment is important for increased transparency in the actual energy consumption of shared living spaces in commercial buildings e.g. hotels, student dormitories and hospitals amongst others. Accurate energy accounting is a difficult problem to solve using only a single smart meter. In this paper, we present a novel, scalable and a low cost energy apportionment system called WattShare that builds upon our EnergyLens architecture, where data from a common electricity meter and smartphones (carried by the occupants) is fused, and then used for detailed energy disaggregation. This information is then used to measure the room-level energy consumption. We evaluate WattShare using a week long deployment conducted in a student dormitory in a campus in India. We show that WattShare is able to disaggregate the total energy usage from a single smart meter to individual rooms with an average precision of 96.42% and average recall of 94.96%. WattShare achieves 86.42% energy apportionment accuracy which increases to 94.57% when an outlier room is removed. energy disaggregation, personal energy apportionment, smart meters, smartphones",wattshare detailed energy apportionment in shared living spaces within commercial buildings increasing energy consumption of commercial buildings has motivated numerous energy tracking and monitoring systems in the recent years a particular area that is less explored in this domain is that of energy apportionment whereby total energy usage of a shared space such as a building is disaggregated to attribute it to an individual occupant this particular scenario of individual apportionment is important for increased transparency in the actual energy consumption of shared living spaces in commercial buildings e g hotels student dormitories and hospitals amongst others accurate energy accounting is a difficult problem to solve using only a single smart meter in this paper we present a novel scalable and a low cost energy apportionment system called wattshare that builds upon our energylens architecture where data from a common electricity meter and smartphones carried by the occupants is fused and then used for detailed energy disaggregation this information is then used to measure the room level energy consumption we evaluate wattshare using a week long deployment conducted in a student dormitory in a campus in india we show that wattshare is able to disaggregate the total energy usage from a single smart meter to individual rooms with an average precision of 96 42 and average recall of 94 96 wattshare achieves 86 42 energy apportionment accuracy which increases to 94 57 when an outlier room is removed energy disaggregation personal energy apportionment smart meters smartphones,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,0,153,"Weaving in Patterns into It Infrastructure Models: Industry Case and Exemplary Approaches Architectural patterns are a helpful means for designing IT architectures, as they facilitate re-using proven knowledge (good practices) from previous exercises. Furthermore referencing a pattern in an architecture model helps improving the understandability of the model, as it directs to a comprehensive description of the pattern, but does not require to include the full description into the model. In this paper we describe how patterns can be woven into architecture models, focusing on deployment views of the IT infrastructure. Two different modeling approaches, Fundamental Modeling Concepts (FMC) and ArchiMate, are compared based on a real-world case concerning the infrastructure architecture of a large data center. This paper provides practical insights for IT architects from the industry by discussing the practical case and comparing both modeling approaches. Furthermore, it is supposed to intensify the exchange between industry experts and scientific researchers and it should motivate pursuing further research concerning patterns and IT infrastructure models. it infrastructure, software architecture",weaving in patterns into it infrastructure models industry case and exemplary approaches architectural patterns are a helpful means for designing it architectures as they facilitate re using proven knowledge good practices from previous exercises furthermore referencing a pattern in an architecture model helps improving the understandability of the model as it directs to a comprehensive description of the pattern but does not require to include the full description into the model in this paper we describe how patterns can be woven into architecture models focusing on deployment views of the it infrastructure two different modeling approaches fundamental modeling concepts fmc and archimate are compared based on a real world case concerning the infrastructure architecture of a large data center this paper provides practical insights for it architects from the industry by discussing the practical case and comparing both modeling approaches furthermore it is supposed to intensify the exchange between industry experts and scientific researchers and it should motivate pursuing further research concerning patterns and it infrastructure models it infrastructure software architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,0,161,"Web Based Poultry Farm Monitoring System Using Wireless Sensor Network In this paper, we have proposed and developed a Poultry Farm Monitoring System based on Wireless Sensor Network (WSN) using Crossbow's TelosB motes integrated with commercial sensors capable of measuring temperature and humidity values. The data collected from the sensors is uploaded to an online database using an agent program and afterward accessed via the internet using web analysis applications. The feasibility of the developed system was tested by deploying the proposed system at N-W.F.P. Agricultural University's research poultry farm in Peshawar in the North-Western Frontier Province of Pakistan. To emulate the proposed idea, the data collected during a daylong experiment was put to test, evaluating the WSN's reliability and its ability to detect and report anomalies in the environment. This paper is the first step towards WSN based poultry farm monitoring systems. We have provided an online monitoring solution for poultry farms and tested its feasibility and reliability by presenting a thorough data analysis of our pilot deployment. WSN, poultry farm monitoring system",web based poultry farm monitoring system using wireless sensor network in this paper we have proposed and developed a poultry farm monitoring system based on wireless sensor network wsn using crossbow s telosb motes integrated with commercial sensors capable of measuring temperature and humidity values the data collected from the sensors is uploaded to an online database using an agent program and afterward accessed via the internet using web analysis applications the feasibility of the developed system was tested by deploying the proposed system at n w f p agricultural university s research poultry farm in peshawar in the north western frontier province of pakistan to emulate the proposed idea the data collected during a daylong experiment was put to test evaluating the wsn s reliability and its ability to detect and report anomalies in the environment this paper is the first step towards wsn based poultry farm monitoring systems we have provided an online monitoring solution for poultry farms and tested its feasibility and reliability by presenting a thorough data analysis of our pilot deployment wsn poultry farm monitoring system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
