,df,model,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,true_negative_rate_avg,true_negative_rate_std,f2_score_avg,f2_score_std,f3_score_avg,f3_score_std,true_negative_rate@95,precision@95,wss@95
0,ace,SVM,98.55,0.2,57.11,23.57,14.65,7.56,99.81,0.14,17.03,8.55,15.75,8.02,16.44,28.57,11.27
1,ace,DT,96.23,0.57,11.85,3.51,23.79,8.07,97.32,0.6,19.61,6.09,21.47,6.92,9.85,15.15,4.78
2,ace,RF,98.51,0.09,35.0,40.07,2.75,2.82,99.95,0.05,3.36,3.45,3.02,3.1,54.52,0.0,48.77
3,ace,LR,98.46,0.16,47.8,7.31,36.83,8.21,99.39,0.16,38.36,7.56,37.57,7.89,52.24,42.86,46.52
4,copd,SVM,91.8,0.6,73.79,2.9,50.97,5.61,97.48,0.44,54.25,5.12,52.56,5.38,52.48,68.18,41.7
5,copd,DT,85.78,2.02,44.64,5.49,60.92,5.55,89.24,2.54,56.55,4.14,58.63,4.67,10.21,49.24,4.59
6,copd,RF,90.45,0.79,60.16,3.5,65.46,3.73,93.92,1.0,64.25,2.91,64.84,3.27,49.36,58.25,38.96
7,copd,LR,91.81,0.71,66.21,3.36,67.55,4.63,95.18,0.78,67.21,3.78,67.38,4.18,71.49,65.05,58.39
8,ppi,SVM,95.88,0.52,44.28,15.7,18.79,6.45,98.96,0.53,21.01,6.8,19.83,6.61,39.34,57.14,33.16
9,ppi,DT,90.28,2.36,14.04,5.91,27.3,10.53,92.8,2.44,22.48,8.36,24.6,9.23,6.11,10.0,1.18
10,ppi,RF,95.88,0.47,44.79,10.98,20.01,5.93,98.91,0.55,22.21,6.19,21.05,6.05,44.04,58.33,37.68
11,ppi,LR,95.12,0.76,37.18,8.05,34.46,7.74,97.55,0.89,34.58,6.83,34.5,7.24,53.76,42.11,47.04
12,alhammad,SVM,98.54,0.18,56.4,24.36,17.87,8.13,99.76,0.18,20.35,8.87,19.02,8.48,31.08,33.33,25.69
13,alhammad,DT,96.14,0.7,11.51,4.99,22.75,9.07,97.24,0.67,18.84,7.39,20.58,8.09,0.41,12.77,-4.52
14,alhammad,RF,98.51,0.07,30.42,40.22,2.44,2.77,99.95,0.07,2.98,3.38,2.68,3.04,44.18,0.0,38.59
15,alhammad,LR,98.3,0.29,43.24,10.99,37.94,9.25,99.21,0.29,38.5,8.55,38.2,8.87,68.19,35.0,62.23
16,ghasemi,SVM,91.86,0.39,74.5,4.0,51.17,5.32,97.51,0.66,54.46,4.59,52.76,4.98,62.7,75.0,50.67
17,ghasemi,DT,85.8,1.85,44.18,5.4,58.72,5.35,89.56,1.74,55.02,5.04,56.8,5.15,7.8,45.59,2.47
18,ghasemi,RF,90.36,0.89,59.74,3.6,65.41,4.84,93.83,0.99,64.11,3.98,64.75,4.38,70.5,58.04,57.52
19,ghasemi,LR,92.09,0.61,67.35,3.16,68.67,2.93,95.34,0.71,68.36,2.38,68.51,2.62,68.09,67.01,55.4
20,goulao,SVM,95.84,0.34,39.91,11.53,15.72,6.48,99.04,0.39,17.72,6.88,16.66,6.67,15.36,40.0,10.08
21,goulao,DT,90.11,2.4,13.74,4.54,27.08,5.75,92.63,2.55,22.2,4.7,24.34,5.01,7.99,20.0,2.99
22,goulao,RF,96.04,0.34,47.28,8.05,24.21,8.43,98.92,0.39,26.56,8.52,25.32,8.48,26.49,57.14,20.79
23,goulao,LR,95.08,0.4,35.39,4.86,33.6,7.57,97.54,0.53,33.73,6.6,33.65,7.08,39.5,34.62,33.31
24,guinea,SVM,98.55,0.18,54.52,20.92,15.67,7.23,99.8,0.13,18.17,8.24,16.83,7.7,29.45,57.14,24.09
25,guinea,DT,96.3,0.85,11.71,4.63,22.84,11.69,97.41,0.92,18.78,8.59,20.56,9.83,0.73,13.51,-4.2
26,guinea,RF,98.51,0.1,27.5,41.63,2.21,3.31,99.96,0.07,2.69,4.01,2.42,3.63,62.25,0.0,56.38
27,guinea,LR,98.38,0.31,46.72,11.42,37.54,7.07,99.3,0.32,38.69,6.89,38.09,6.93,58.5,42.11,52.69
28,santos,SVM,91.64,0.56,73.37,4.06,49.85,5.5,97.45,0.63,53.15,5.01,51.44,5.27,45.96,78.18,35.97
29,santos,DT,85.65,1.54,43.69,4.45,57.86,5.47,89.52,1.75,54.21,4.5,55.97,4.91,4.4,37.04,-0.52
30,santos,RF,90.27,0.75,59.4,2.84,64.29,5.17,93.89,0.64,63.19,4.36,63.73,4.75,60.28,60.18,48.55
31,santos,LR,91.82,0.78,66.18,3.82,67.96,3.69,95.13,0.81,67.54,3.14,67.75,3.39,64.82,71.72,52.53
32,shahin,SVM,95.85,0.39,41.9,11.95,17.26,6.26,98.99,0.51,19.32,6.6,18.23,6.42,24.29,42.86,18.68
33,shahin,DT,90.66,2.07,15.08,3.49,29.98,10.0,93.08,2.45,24.43,6.23,26.84,7.72,14.73,11.36,9.48
34,shahin,RF,95.9,0.41,44.14,11.74,20.38,6.61,98.92,0.41,22.64,7.08,21.45,6.84,51.72,40.0,45.08
35,shahin,LR,94.88,0.71,33.92,7.11,33.32,8.43,97.34,0.77,33.16,7.74,33.23,8.07,50.31,40.0,43.72
36,yang,SVM,98.45,0.15,38.39,21.3,11.1,7.37,99.76,0.13,12.84,8.37,11.9,7.84,66.31,50.0,60.38
37,yang,DT,96.61,0.61,13.74,5.22,24.99,12.03,97.69,0.71,21.09,9.07,22.82,10.29,4.72,8.82,-0.27
38,yang,RF,98.51,0.07,14.17,32.12,1.1,2.25,99.98,0.05,1.34,2.75,1.21,2.48,27.18,0.0,21.84
39,yang,LR,98.27,0.2,40.91,7.46,34.33,7.43,99.23,0.24,35.17,6.62,34.73,7.01,80.8,31.25,74.65
